INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (1,1,44920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (1,2,49920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (1,3,54920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (1,4,59920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (1,5,64940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (1,6,69940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (1,7,74940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (1,8,79940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (1,9,84960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (1,10,89960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (1,11,94960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (1,12,99960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (1,13,104980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (1,14,109980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (1,15,114980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (1,16,119980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (1,17,125000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (1,18,130000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (1,19,135000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (2,1,44920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (2,2,49920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (2,3,54920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (2,4,59920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (2,5,64940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (2,6,69940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (2,7,74940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (2,8,79940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (2,9,84960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (2,10,89960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (2,11,94960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (2,12,99960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (2,13,104980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (2,14,109980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (2,15,114980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (2,16,119980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (2,17,125000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (2,18,130000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (2,19,135000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (3,1,44920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (3,2,49920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (3,3,54920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (3,4,59920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (3,5,64940);
